,num_reviews,orig_price,been_sale,rating_val,num_tags,num_genres,year_released
558,69774,19.99,0,9.0,20.0,4.0,2013.0
561,17305,14.99,0,8.0,20.0,2.0,2016.0
562,16178,14.99,0,9.0,20.0,2.0,2009.0
566,5878,12.99,0,8.0,20.0,4.0,2019.0
570,3157,11.99,0,9.0,20.0,3.0,2020.0
571,10126,19.99,0,9.0,20.0,2.0,2018.0
572,13280,39.99,0,8.0,16.0,0.0,2019.0
573,926,49.99,0,8.0,20.0,2.0,2020.0
574,121163,9.99,0,9.0,20.0,2.0,2007.0
578,20625,29.99,0,5.0,20.0,6.0,2020.0
579,2034,39.99,0,5.0,20.0,3.0,2021.0
580,269,29.99,0,8.0,15.0,2.0,2021.0
581,2492,24.99,0,8.0,17.0,2.0,2020.0
582,781,29.99,1,8.0,20.0,3.0,2020.0
583,41570,9.99,0,9.0,20.0,2.0,2013.0
585,1974,24.99,0,9.0,20.0,0.0,2020.0
586,9956,29.99,0,7.0,20.0,6.0,2019.0
587,35048,19.99,0,9.0,20.0,3.0,2018.0
588,3652,19.99,0,8.0,20.0,3.0,2021.0
590,7878,29.99,1,8.0,20.0,4.0,2014.0
592,87060,39.99,0,9.0,20.0,2.0,2019.0
593,13745,19.99,0,5.0,20.0,3.0,2016.0
594,15737,14.99,1,8.0,20.0,3.0,2013.0
596,1018,11.99,0,9.0,20.0,4.0,2020.0
598,3502,19.99,0,8.0,19.0,3.0,2020.0
601,22409,9.99,0,8.0,20.0,7.0,2009.0
602,30264,19.99,0,7.0,20.0,2.0,2009.0
603,21294,19.99,0,9.0,20.0,3.0,2007.0
605,6173,29.99,0,8.0,20.0,3.0,2016.0
606,2237,24.99,0,8.0,14.0,0.0,2019.0
607,15248,19.99,0,9.0,20.0,3.0,2016.0
608,20088,24.99,0,8.0,20.0,1.0,2014.0
609,1208,24.99,0,8.0,16.0,2.0,2021.0
610,13943,29.99,0,8.0,20.0,2.0,2010.0
611,12378,24.99,0,9.0,20.0,1.0,2020.0
616,3620,24.99,0,7.0,20.0,2.0,2020.0
619,5453,59.99,0,5.0,20.0,0.0,2017.0
621,27604,29.99,0,8.0,20.0,4.0,2014.0
622,12303,19.99,0,9.0,20.0,4.0,2009.0
624,10302,29.99,0,9.0,20.0,1.0,2019.0
625,19176,24.99,1,8.0,20.0,0.0,2019.0
626,476,49.99,0,5.0,20.0,2.0,2020.0
627,10776,19.99,0,9.0,20.0,3.0,2017.0
628,10704,59.99,0,8.0,19.0,0.0,2017.0
633,882,24.99,0,8.0,12.0,6.0,2018.0
634,2597,19.99,0,8.0,15.0,6.0,2020.0
635,44547,29.99,0,8.0,20.0,6.0,2011.0
636,424,79.99,0,7.0,11.0,6.0,2020.0
637,3791,19.99,0,8.0,20.0,4.0,2018.0
638,13946,24.99,0,8.0,20.0,2.0,2018.0
639,40871,44.99,0,8.0,20.0,2.0,2018.0
640,8584,5.99,0,9.0,20.0,4.0,2020.0
641,1721,24.99,0,9.0,20.0,6.0,2020.0
646,8484,11.99,0,8.0,20.0,3.0,2018.0
648,3441,29.99,0,7.0,20.0,3.0,2020.0
650,1864,29.99,0,9.0,10.0,0.0,2020.0
651,5054,19.99,0,8.0,20.0,2.0,2020.0
653,124,9.99,0,5.0,20.0,5.0,2020.0
656,3389,39.99,0,7.0,16.0,5.0,2020.0
657,5444,59.99,0,8.0,20.0,2.0,2019.0
658,652,14.99,0,9.0,8.0,6.0,2017.0
659,7906,59.99,0,8.0,20.0,2.0,2019.0
660,23310,19.99,0,8.0,20.0,4.0,2019.0
661,64,19.99,1,7.0,20.0,5.0,2021.0
662,4174,14.99,0,9.0,20.0,5.0,2020.0
663,517,19.99,0,8.0,20.0,3.0,2021.0
665,1854,16.99,0,8.0,18.0,3.0,2021.0
666,30015,19.99,1,8.0,20.0,2.0,2009.0
667,4449,19.99,0,8.0,20.0,1.0,2018.0
669,11555,19.99,0,8.0,20.0,3.0,2015.0
671,2854,24.99,0,8.0,17.0,0.0,2018.0
674,2232,29.99,0,8.0,16.0,0.0,2019.0
675,7685,29.99,0,8.0,18.0,2.0,2018.0
676,2444,24.99,0,9.0,20.0,5.0,2020.0
677,400,16.99,0,8.0,20.0,2.0,2021.0
678,4062,19.99,0,8.0,20.0,2.0,2020.0
684,75018,24.99,0,9.0,20.0,3.0,2018.0
685,7236,9.99,0,8.0,20.0,2.0,2019.0
686,5870,9.99,0,8.0,18.0,5.0,2020.0
688,104,6.99,0,8.0,15.0,2.0,2021.0
