,title,num_reviews,review_rating,num_languages,tags,num_tags,genres,num_genres,publisher
13008,Nyctophobia,598,Mixed,,"['Indie', 'Adventure', 'Horror']",3.0,"['Adventure', 'Indie']",2.0,Lightning Man Media 
13009,Legends of Talia: Arcadia,168,Mostly Positive,,"['Anime', 'Visual Novel', 'Simulation', 'Female Protagonist', 'Nudity', 'Sexual Content']",6.0,['Simulation'],1.0,Winged Cloud
13010,DOA6 Seaside Eden Costume - Eliot,,,10,"['Nudity', 'Sexual Content', 'Action', 'Gore', 'Violent']",5.0,['Action'],1.0,"KOEI TECMO GAMES CO., LTD."
13011,Jolly Good: Cakes and Ale — Pleasantly Tipsy,,,,"['RPG', 'Indie']",2.0,"['Indie', 'RPG']",2.0,Choice of Games
13012,Exertus,143,Very Positive,7,"['Action', 'Precision Platformer', 'FPS', '3D Platformer', 'Parkour', 'Tutorial', 'Casual', 'Difficult', 'Platformer', 'First-Person', '3D', 'Relaxing', 'Minimalist', 'Colorful', 'Abstract', 'Family Friendly', 'Atmospheric', 'Physics', 'Adventure', 'Beautiful']",20.0,"['Action', 'Casual', 'Indie']",3.0,Loneminded
13013,Dungeon Escape,,Mostly Positive,19,"['Platformer', 'Retro', 'Action', 'Precision Platformer', 'Difficult', '2D', 'Gore', 'Indie', 'Adventure', 'Perma Death', 'Singleplayer', '2D Platformer', 'Side Scroller', 'Dungeon Crawler', 'Mystery Dungeon', 'Minimalist', 'Arcade', 'Puzzle', 'Old School', 'Atmospheric']",20.0,"['Action', 'Adventure', 'Indie', 'Roenko Games']",4.0,Roenko Games
13014,DOA6 Seaside Eden Costume - Brad Wong,,,10,"['Action', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",5.0,['Action'],1.0,"KOEI TECMO GAMES CO., LTD."
13015,Zaccaria Pinball - Granada Table,,1 user reviews,,"['Free to Play', 'Indie', 'Casual', 'Simulation', 'Sports']",5.0,"['Action', 'Casual', 'Free to Play', 'Indie', 'Simulation']",5.0,Magic Pixel Kft.
13016,Zaccaria Pinball - Blackbelt Table,,2 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13017,Soup: the Game,,Mixed,,"['Strategy', 'Action', 'Indie', 'Early Access', 'Simulation']",5.0,"['Action', 'Indie', 'Simulation', 'Strategy', 'Early Access']",5.0,Dewdrop Games
13018,Zaccaria Pinball - Shooting The Rapids Table,,1 user reviews,,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13019,Zaccaria Pinball - Supersonic Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13020,Zaccaria Pinball - Clown Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13021,Zaccaria Pinball - Tropical Table,,,,"['Indie', 'Casual', 'Simulation', 'Sports', 'Free to Play']",5.0,"['Action', 'Casual', 'Free to Play', 'Indie', 'Simulation']",5.0,Magic Pixel Kft.
